Date,Open,High,Low,Close,Adj Close,Volume
9/4/2020,22.43,22.43,21.85,22.15,21.950092,66100
9/8/2020,22.030001,22.030001,21.41,21.52,21.325779,72200
9/9/2020,21.559999,22.360001,21.559999,21.9,21.702349,125900
9/10/2020,21.9,22.09,21.27,21.290001,21.097857,157100
9/11/2020,21.379999,21.379999,20.68,21.190001,20.998756,170800
9/14/2020,21.5,22.33,21.32,22.190001,21.989731,165600
9/15/2020,22.440001,22.65,21.1,21.17,20.978935,79400
9/16/2020,21.18,21.620001,21.059999,21.35,21.157312,92300
9/17/2020,21.120001,21.200001,20.889999,21.02,20.83029,67200
9/18/2020,21.200001,21.59,20.99,21.459999,21.266317,179000
9/21/2020,21.049999,21.049999,20.370001,20.879999,20.691553,130500
9/22/2020,21.02,21.02,20.219999,20.379999,20.196064,53400
9/23/2020,20.24,20.92,20.24,20.809999,20.622185,92200
9/24/2020,20.860001,21.309999,20.709999,21.049999,20.86002,73700
9/25/2020,20.860001,21.530001,20.860001,21.309999,21.117672,81800
9/28/2020,21.559999,22.23,21.530001,21.99,21.791536,87000
9/29/2020,22.08,22.110001,21.74,21.82,21.623072,57900
9/30/2020,21.719999,22.4,21.690001,22.309999,22.108648,69700
10/1/2020,22.290001,22.549999,21.959999,22.51,22.306841,73400
10/2/2020,22.299999,23.549999,22.26,23.5,23.287907,102500
10/5/2020,23.57,24.43,23.57,24.360001,24.140146,142500
10/6/2020,24.370001,24.48,23.48,23.58,23.367186,116800
10/7/2020,23.77,24.27,23.52,23.57,23.357275,92200
10/8/2020,23.75,23.98,23.700001,23.790001,23.575293,84900
10/9/2020,23.85,24.370001,23.719999,24,23.783394,67100
10/12/2020,23.99,24.34,23.790001,24.15,23.932041,49000
10/13/2020,23.91,24.049999,23.59,23.84,23.624838,66800
10/14/2020,23.76,24.02,23.360001,23.49,23.277998,103500
10/15/2020,23.209999,24,22.98,23.85,23.634748,110900
10/16/2020,23.709999,24.309999,23.57,24.049999,23.832945,77600
10/19/2020,24.15,24.17,23.610001,23.75,23.53565,62400
10/20/2020,23.940001,24.08,23.639999,23.77,23.555471,58300
10/21/2020,23.879999,24.059999,23.76,24.030001,23.813126,34500
10/22/2020,24.139999,24.65,23.950001,24.5,24.278883,46500
10/23/2020,24.559999,25.219999,24.559999,24.75,24.526627,59500
10/26/2020,24.49,24.49,23.709999,24.040001,23.823036,48400
10/27/2020,24.049999,24.379999,23.75,24.26,24.04105,88800
10/28/2020,24.07,26.18,23.6,25.5,25.269857,304500
10/29/2020,25.780001,26.23,25.07,25.700001,25.468052,123000
10/30/2020,25.76,26.129999,25.450001,25.809999,25.577059,121300
11/2/2020,26.139999,26.459999,25.950001,26.27,26.032909,87600
11/3/2020,26.51,27.93,26.5,27.74,27.489641,108900
11/4/2020,27.33,27.84,27.07,27.35,27.103161,69400
11/5/2020,27.48,28.26,27.42,27.780001,27.52928,47100
11/6/2020,27.889999,27.889999,26.969999,27.049999,26.90271,60400
11/9/2020,27.530001,28.610001,26.780001,26.790001,26.644127,128800
11/10/2020,27.129999,27.620001,26.51,27.139999,26.99222,60300
